,First,Last,Book_Title
0,Bill,Martin Jr.,"Brown Bear, Brown Bear, What Do You See?"
1,Dav,Pilkey,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)
2,Dav,Pilkey,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)
3,Dav,Pilkey,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)
4,Giles,Andreae,Giraffes Can't Dance
5,Margaret,Wise Brown,Goodnight Moon
6,J. K.,Rowling,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)"
7,Ann,Whitford Paul,If Animals Kissed Good Night
8,Dr.,Seuss,"Oh, the Places You'll Go!"
9,Wizards,RPG Team,Player's Handbook (Dungeons & Dragons)
10,Nathan W.,Pyle,Strange Planet (Strange Planet Series)
11,John,Grisham,The Guardians: A Novel
12,Alex,Michaelides,The Silent Patient
13,Eric,Carle,The Very Hungry Caterpillar
14,Emily,Winfield Martin,The Wonderful Things You Will Be
15,Craig,Smith,The Wonky Donkey
16,Harper,Lee,To Kill a Mockingbird
17,Adir,Levy,What Should Danny Do? (The Power to Choose Series)
18,Delia,Owens,Where the Crawdads Sing
19,Jeff,Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14)
