,First,Last,Book_Title,UserRating,Num_Reviews,Year,Genre
0,Bill,Martin Jr.,"Brown Bear, Brown Bear, What Do You See?",4.9,14344,2019,Fiction
1,Dav,Pilkey,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.9,7235,2019,Fiction
2,Dav,Pilkey,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,12619,2019,Fiction
3,Dav,Pilkey,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),4.9,9089,2019,Fiction
4,Giles,Andreae,Giraffes Can't Dance,4.8,14038,2019,Fiction
5,Margaret,Wise Brown,Goodnight Moon,4.8,8837,2019,Fiction
6,J. K.,Rowling,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",4.9,7758,2019,Fiction
7,Ann,Whitford Paul,If Animals Kissed Good Night,4.8,16643,2019,Fiction
8,Dr.,Seuss,"Oh, the Places You'll Go!",4.9,21834,2019,Fiction
9,Wizards,RPG Team,Player's Handbook (Dungeons & Dragons),4.8,16990,2019,Fiction
10,Nathan W.,Pyle,Strange Planet (Strange Planet Series),4.9,9382,2019,Fiction
11,John,Grisham,The Guardians: A Novel,4.5,13609,2019,Fiction
12,Alex,Michaelides,The Silent Patient,4.5,27536,2019,Fiction
13,Eric,Carle,The Very Hungry Caterpillar,4.9,19546,2019,Fiction
14,Emily,Winfield Martin,The Wonderful Things You Will Be,4.9,8842,2019,Fiction
15,Craig,Smith,The Wonky Donkey,4.8,30183,2019,Fiction
16,Harper,Lee,To Kill a Mockingbird,4.8,26234,2019,Fiction
17,Adir,Levy,What Should Danny Do? (The Power to Choose Series),4.8,8170,2019,Fiction
18,Delia,Owens,Where the Crawdads Sing,4.8,87841,2019,Fiction
19,Jeff,Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14),4.9,9413,2019,Fiction
