Title,Author,Rating
The Testaments,Margaret Atwood,4.20
Normal People,Sally Rooney,3.86
Where the Forest Meets the Stars,Glendy Vanderah,4.12
"Ask Again, Yes",Mary Beth Keane,3.97
Queenie,Candice Carty-Williams,3.88
On Earth We're Briefly Gorgeous,Ocean Vuong,4.04
A Woman Is No Man,Etaf Rum,4.25
The Overdue Life of Amy Byler,Kelly Harms,3.82
"Olive, Again",Elizabeth Strout,4.11
The Most Fun We Ever Had,Claire Lombardo,3.96
The Bookish Life of Nina Hill,Abbi Waxman,3.83
The Last Romantics,Tara Conklin,3.74
Red at the Bone,Jacqueline Woodson,4.01
When All Is Said,Anne  Griffin,4.04
The Gifted School,Bruce Holsinger,3.73
Fleishman Is in Trouble,Taffy Brodesser-Akner,3.65
Find Me,André Aciman,3.32
The Reckless Oath We Made,Bryn Greenwood,4.00
"Girl, Woman, Other",Bernardine Evaristo,4.40
Lanny,Max Porter,4.06
